GENERATION_PROJECT	build_year	gen_overnight_cost	gen_storage_energy_overnight_cost	gen_fixed_om
Oahu_CentralTrackingPV_PV_16	2040	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_16	2045	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_17	2020	1983364.77893	.	10048.2809785
Oahu_CentralTrackingPV_PV_17	2025	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_17	2030	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_17	2035	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_17	2040	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_17	2045	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_18	2020	1983364.77893	.	10048.2809785
Oahu_CentralTrackingPV_PV_18	2025	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_18	2030	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_18	2035	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_18	2040	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_18	2045	2018298.16995	.	10048.2809785
Oahu_FlatDistPV_Oahu_FlatDistPV_0	2016	4420723.96317	.	18843.312592
Oahu_FlatDistPV_Oahu_FlatDistPV_0	2020	3261201.92022	.	14342.1184956
Oahu_FlatDistPV_Oahu_FlatDistPV_0	2025	3295709.29426	.	14342.1184956
Oahu_FlatDistPV_Oahu_FlatDistPV_0	2030	3295709.29426	.	14342.1184956
Oahu_FlatDistPV_Oahu_FlatDistPV_0	2035	3295709.29426	.	14342.1184956
Oahu_FlatDistPV_Oahu_FlatDistPV_0	2040	3295709.29426	.	14342.1184956
Oahu_FlatDistPV_Oahu_FlatDistPV_0	2045	3295709.29426	.	14342.1184956
Oahu_FlatDistPV_Oahu_FlatDistPV_1	2020	3261201.92022	.	14342.1184956
Oahu_FlatDistPV_Oahu_FlatDistPV_1	2025	3295709.29426	.	14342.1184956
Oahu_FlatDistPV_Oahu_FlatDistPV_1	2030	3295709.29426	.	14342.1184956
Oahu_FlatDistPV_Oahu_FlatDistPV_1	2035	3295709.29426	.	14342.1184956
Oahu_FlatDistPV_Oahu_FlatDistPV_1	2040	3295709.29426	.	14342.1184956
Oahu_FlatDistPV_Oahu_FlatDistPV_1	2045	3295709.29426	.	14342.1184956
Oahu_FlatDistPV_Oahu_FlatDistPV_2	2016	4420723.96317	.	18843.312592
Oahu_FlatDistPV_Oahu_FlatDistPV_2	2020	3261201.92022	.	14342.1184956
Oahu_FlatDistPV_Oahu_FlatDistPV_2	2025	3295709.29426	.	14342.1184956
Oahu_FlatDistPV_Oahu_FlatDistPV_2	2030	3295709.29426	.	14342.1184956
Oahu_FlatDistPV_Oahu_FlatDistPV_2	2035	3295709.29426	.	14342.1184956
Oahu_FlatDistPV_Oahu_FlatDistPV_2	2040	3295709.29426	.	14342.1184956
Oahu_FlatDistPV_Oahu_FlatDistPV_2	2045	3295709.29426	.	14342.1184956
Oahu_FlatDistPV_Oahu_FlatDistPV_3	2016	4420723.96317	.	18843.312592
Oahu_FlatDistPV_Oahu_FlatDistPV_3	2020	3261201.92022	.	14342.1184956
Oahu_FlatDistPV_Oahu_FlatDistPV_3	2025	3295709.29426	.	14342.1184956
Oahu_FlatDistPV_Oahu_FlatDistPV_3	2030	3295709.29426	.	14342.1184956
Oahu_FlatDistPV_Oahu_FlatDistPV_3	2035	3295709.29426	.	14342.1184956
Oahu_FlatDistPV_Oahu_FlatDistPV_3	2040	3295709.29426	.	14342.1184956
Oahu_FlatDistPV_Oahu_FlatDistPV_3	2045	3295709.29426	.	14342.1184956
Oahu_H-Power	1989	1943656.25	.	0.0
Oahu_Honolulu_8	1954	557448.223719	.	0.0
Oahu_Honolulu_9	1957	557448.223719	.	0.0
Oahu_IC_Barge	2020	1390114.8947	.	36204.5375
Oahu_IC_Barge	2025	1390492.79623	.	36204.5375
Oahu_IC_Barge	2030	1390503.92036	.	36204.5375
Oahu_IC_Barge	2035	1390118.59426	.	36204.5375
Oahu_IC_Barge	2040	1390628.04036	.	36204.5375
Oahu_IC_Barge	2045	1390321.1941	.	36204.5375
Oahu_IC_MCBH	2020	3246862.30507	.	36204.5375
Oahu_IC_MCBH	2025	3155899.67329	.	36204.5375
Oahu_IC_MCBH	2030	3082188.20722	.	36204.5375
Oahu_IC_MCBH	2035	3031761.06987	.	36204.5375
Oahu_IC_MCBH	2040	3000360.44947	.	36204.5375
Oahu_IC_MCBH	2045	3000463.44187	.	36204.5375
Oahu_IC_Schofield	2018	2576065.13503	.	36204.5375
Oahu_IC_Schofield	2020	2547402.66417	.	36204.5375
Oahu_IC_Schofield	2025	2476759.36934	.	36204.5375
Oahu_IC_Schofield	2030	2418445.60603	.	36204.5375
Oahu_IC_Schofield	2035	2378996.71112	.	36204.5375
Oahu_IC_Schofield	2040	2354687.26283	.	36204.5375
Oahu_IC_Schofield	2045	2354778.23866	.	36204.5375
Oahu_Kahe_1	1963	557448.223719	.	0.0
Oahu_Kahe_2	1964	557448.223719	.	0.0
Oahu_Kahe_3	1970	557448.223719	.	0.0
Oahu_Kahe_4	1972	557448.223719	.	0.0
