GENERATION_PROJECT	gen_load_zone	gen_tech	gen_connect_cost_per_mw	gen_capacity_limit_mw	gen_unit_size	gen_max_age	gen_scheduled_outage_rate	gen_forced_outage_rate	gen_is_variable	gen_is_baseload	gen_is_cogen	gen_variable_om	gen_energy_source	gen_full_load_heat_rate	gen_min_uptime	gen_min_downtime	gen_startup_fuel	gen_storage_efficiency	gen_storage_energy_to_power_ratio	gen_storage_max_cycles_per_year
Oahu_OnshoreWind_OnWind_410	Oahu	OnshoreWind	23726.53347	2.5	.	25	0.0	0	1	0	0	0.0	WND	.	.	.	.	.	.	.
Oahu_OnshoreWind_OnWind_501	Oahu	OnshoreWind	34497.39118	242.5	.	25	0.0	0	1	0	0	0.0	WND	.	.	.	.	.	.	.
Oahu_OnshoreWind_OnWind_502	Oahu	OnshoreWind	26868.00635	42.5	.	25	0.0	0	1	0	0	0.0	WND	.	.	.	.	.	.	.
Oahu_OnshoreWind_OnWind_503	Oahu	OnshoreWind	20211.23717	117.5	.	25	0.0	0	1	0	0	0.0	WND	.	.	.	.	.	.	.
Oahu_OnshoreWind_OnWind_504	Oahu	OnshoreWind	8981.047307	20.0	.	25	0.0	0	1	0	0	0.0	WND	.	.	.	.	.	.	.
Oahu_OnshoreWind_OnWind_505	Oahu	OnshoreWind	28538.64355	42.5	.	25	0.0	0	1	0	0	0.0	WND	.	.	.	.	.	.	.
Oahu_OnshoreWind_OnWind_506	Oahu	OnshoreWind	36420.84262	7.5	.	25	0.0	0	1	0	0	0.0	WND	.	.	.	.	.	.	.
Oahu_OnshoreWind_OnWind_507	Oahu	OnshoreWind	22047.39162	10.0	.	25	0.0	0	1	0	0	0.0	WND	.	.	.	.	.	.	.
Oahu_OnshoreWind_OnWind_508	Oahu	OnshoreWind	23670.48981	2.5	.	25	0.0	0	1	0	0	0.0	WND	.	.	.	.	.	.	.
Oahu_OnshoreWind_OnWind_509	Oahu	OnshoreWind	21091.14736	2.5	.	25	0.0	0	1	0	0	0.0	WND	.	.	.	.	.	.	.
Oahu_OnshoreWind_OnWind_Kahuku	Oahu	OnshoreWind	35017.3762199	30.0	.	25	0.0	0	1	0	0	0.0	WND	.	.	.	.	.	.	.
Oahu_OnshoreWind_OnWind_Kawailoa	Oahu	OnshoreWind	30834.2437707	69.0	.	25	0.0	0	1	0	0	0.0	WND	.	.	.	.	.	.	.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_0	Oahu	SlopedDistPV	0.0	106.847507393	.	30	0.0	0	1	0	0	0.0	SUN	.	.	.	.	.	.	.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_1	Oahu	SlopedDistPV	0.0	180.07083475	.	30	0.0	0	1	0	0	0.0	SUN	.	.	.	.	.	.	.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_10	Oahu	SlopedDistPV	0.0	143.287197571	.	30	0.0	0	1	0	0	0.0	SUN	.	.	.	.	.	.	.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_11	Oahu	SlopedDistPV	0.0	32.8100135746	.	30	0.0	0	1	0	0	0.0	SUN	.	.	.	.	.	.	.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_12	Oahu	SlopedDistPV	0.0	204.324035724	.	30	0.0	0	1	0	0	0.0	SUN	.	.	.	.	.	.	.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_13	Oahu	SlopedDistPV	0.0	186.865007459	.	30	0.0	0	1	0	0	0.0	SUN	.	.	.	.	.	.	.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_14	Oahu	SlopedDistPV	0.0	243.856840239	.	30	0.0	0	1	0	0	0.0	SUN	.	.	.	.	.	.	.
